Cliente;Arquivo;Código;Descrição;Peso;Valor;NCM
Celio Programador 002;Celio Programador 002.xlsx;ITEM;;TOTAL NET WEIGHT( kg );UNIT PRICE UMO;CODE
Celio Programador 002;Celio Programador 002.xlsx;1;;180;0.99;YG11
Celio Programador 002;Celio Programador 002.xlsx;2;;270;0.99;YG11
Celio Programador 002;Celio Programador 002.xlsx;3;;1000;0.99;CY109
Celio Programador 002;Celio Programador 002.xlsx;4;;1000;0.99;EL-32
Celio Programador 002;Celio Programador 002.xlsx;5;;1590;0.99;CPO002/PT
Celio Programador 002;Celio Programador 002.xlsx;6;;2520;0.99;1852
Celio Programador 002;Celio Programador 002.xlsx;7;;195;0.99;DSCA-006
Celio Programador 002;Celio Programador 002.xlsx;8;;600;0.99;K-18
Celio Programador 002;Celio Programador 002.xlsx;9;;400;0.99;K-27
Celio Programador 002;Celio Programador 002.xlsx;10;;150;0.99;7553693
Celio Programador 002;Celio Programador 002.xlsx;11;;250;0.99;7555510VD
Celio Programador 002;Celio Programador 002.xlsx;12;;80;0.99;7555306
Celio Programador 002;Celio Programador 002.xlsx;13;;300;0.99;7555512VD
Celio Programador 002;Celio Programador 002.xlsx;14;;300;0.99;7555706
Celio Programador 002;Celio Programador 002.xlsx;15;;391;0.99;7562437
Celio Programador 002;Celio Programador 002.xlsx;16;;350;0.99;FCH-5026
Celio Programador 002;Celio Programador 002.xlsx;17;;275;0.99;FCH-9027
Celio Programador 002;Celio Programador 002.xlsx;18;;668;0.99;FCH-5007
Celio Programador 002;Celio Programador 002.xlsx;19;;501;0.99;FCH-5016
Celio Programador 002;Celio Programador 002.xlsx;20;;975;0.99;9610018
Celio Programador 002;Celio Programador 002.xlsx;21;;420;0.99;7550212BL
Celio Programador 002;Celio Programador 002.xlsx;22;;336;0.99;ABRD-001
Celio Programador 002;Celio Programador 002.xlsx;23;;300;0.99;RLDR-002BR
Celio Programador 002;Celio Programador 002.xlsx;24;;306;0.99;EPTL-002
Celio Programador 002;Celio Programador 002.xlsx;25;;252;0.99;PXM001
Celio Programador 002;Celio Programador 002.xlsx;26;;2224.8;0.99;TPA002
Celio Programador 002;Celio Programador 002.xlsx;ITEM;;TOTAL NET WEIGHT( kg );UNIT PRICE UMO;CODE
Celio Programador 002;Celio Programador 002.xlsx;1;;180;0.99;YG11
Celio Programador 002;Celio Programador 002.xlsx;2;;270;0.99;YG11
Celio Programador 002;Celio Programador 002.xlsx;3;;1000;0.99;CY109
Celio Programador 002;Celio Programador 002.xlsx;4;;1000;0.99;EL-32
Celio Programador 002;Celio Programador 002.xlsx;5;;1590;0.99;CPO002/PT
Celio Programador 002;Celio Programador 002.xlsx;6;;2520;0.99;1852
Celio Programador 002;Celio Programador 002.xlsx;7;;195;0.99;DSCA-006
Celio Programador 002;Celio Programador 002.xlsx;8;;600;0.99;K-18
Celio Programador 002;Celio Programador 002.xlsx;9;;400;0.99;K-27
Celio Programador 002;Celio Programador 002.xlsx;10;;150;0.99;7553693
Celio Programador 002;Celio Programador 002.xlsx;11;;250;0.99;7555510VD
Celio Programador 002;Celio Programador 002.xlsx;12;;80;0.99;7555306
Celio Programador 002;Celio Programador 002.xlsx;13;;300;0.99;7555512VD
Celio Programador 002;Celio Programador 002.xlsx;14;;300;0.99;7555706
Celio Programador 002;Celio Programador 002.xlsx;15;;391;0.99;7562437
Celio Programador 002;Celio Programador 002.xlsx;16;;350;0.99;FCH-5026
Celio Programador 002;Celio Programador 002.xlsx;17;;275;0.99;FCH-9027
Celio Programador 002;Celio Programador 002.xlsx;18;;668;0.99;FCH-5007
Celio Programador 002;Celio Programador 002.xlsx;19;;501;0.99;FCH-5016
Celio Programador 002;Celio Programador 002.xlsx;20;;975;0.99;9610018
Celio Programador 002;Celio Programador 002.xlsx;21;;420;0.99;7550212BL
Celio Programador 002;Celio Programador 002.xlsx;22;;336;0.99;ABRD-001
Celio Programador 002;Celio Programador 002.xlsx;23;;300;0.99;RLDR-002BR
Celio Programador 002;Celio Programador 002.xlsx;24;;306;0.99;EPTL-002
Celio Programador 002;Celio Programador 002.xlsx;25;;252;0.99;PXM001
Celio Programador 002;Celio Programador 002.xlsx;26;;2224.8;0.99;TPA002
